date,topic,contest_level,contestId1,index1,R1,contestId2,index2,R2,contestId3,index3,R3,contestId4,index4,R4,T1,T2,T3,T4,performance,rating,delta
"2025-01-19","sortings","11","2021","A","800","1859","B","1000","1914","D","1200","1922","B","1200","21","43","62","107","1268","1288","0"
"2025-01-20","bitmasks","12","2020","A","800","1847","B","1000","1909","B","1200","1864","C","1300","5","33","-1","null","1151","1279","-9"
"2025-01-21","math","11","1886","A","800","1858","C","1000","1934","B","1200","1808","B","1200","22","44","118","-1","1200","1274","-5"
"2025-01-22","combinatorics","12","1821","A","800","1840","C","1000","1843","D","1200","1879","C","1300","8","36","68","-1","1250","1272","-2"
"2025-01-23","greedy","13","2031","A","800","1831","B","1000","1990","B","1200","1951","C","1400","4","42","111","-1","1236","1270","-2"
"2025-01-24","constructive algorithms","14","1806","B","900","2040","B","1000","1799","B","1200","1923","C","1400","47","88","-1","null","1070","1257","-13"
"2025-01-25","mixed","13","1866","A","800","2004","B","1000","1996","C","1200","2038","L","1400","8","67","95","-1","1259","1257","0"
"2025-01-26","bitmasks","14","1494","A","900","1979","B","1000","1870","B","1200","1918","C","1400","14","27","43","111","1443","1269","12"
"2025-01-27","greedy","15","1915","D","900","2032","B","1100","1982","C","1200","1965","A","1400","14","-1","null","null","1079","1256","-13"
"2025-01-28","sortings","14","1850","D","900","2060","B","1000","1848","B","1200","2038","C","1400","9","25","64","-1","1305","1259","3"
"2025-01-29","combinatorics","15","2047","B","900","1840","B","1100","1979","C","1200","2008","F","1400","14","44","99","-1","1253","1259","0"
"2025-01-30","math","16","1921","C","900","1820","B","1100","1788","C","1300","1967","A","1400","30","45","102","-1","1324","1263","4"
"2025-01-31","shortest paths","17","1900","B","900","1869","B","1100","1948","C","1300","1418","C","1500","29","43","117","-1","1327","1267","4"
"2025-02-01","bitmasks","18","1632","B","1000","1807","G2","1100","1981","B","1300","2053","C","1500","24","45","-1","null","1233","1265","-2"
"2025-02-02","constructive algorithms","17","2033","B","900","1788","B","1100","1882","B","1300","2026","C","1500","15","65","91","null","1365","1272","7"
"2025-02-03","strings","16","1883","B","900","1917","B","1100","1821","C","1300","2013","C","1400","3","37","69","115","1454","1284","12"
"2025-02-04","mixed","17","2035","B","900","1850","E","1100","1937","B","1300","2001","C","1500","12","25","null","null","1263","1283","-1"
"2025-02-06","mixed","16","2042","B","900","1905","B","1100","1902","C","1300","1970","C1","1400","8","57","95","-1","1330","1286","3"
"2025-02-21","mixed","17","1856","B","900","2050","B","1100","1968","D","1300","1997","D","1500","13","44","61","102","1560","1304","18"
"2025-02-22","mixed","18","1975","B","1000","1920","B","1100","1922","C","1300","1767","D","1500","7","22","49","105","1563","1321","17"
"2025-02-23","mixed","19","1800","B","1000","2005","B2","1200","1844","C","1300","1765","N","1500","13","32","87","null","1371","1324","3"
